Temps(s)	sigV(MPa)	Defcapt	Defax	Defrad	Defvol	Deplctcapt(m)
9.296214E+2	1.467764E+1	4.761534E-3	4.495154E-3	8.819297E-4	6.259013E-3	1.900804E+2
9.308323E+2	1.447975E+1	4.749985E-3	4.482721E-3	8.823418E-4	6.247404E-3	1.896194E+2
9.320423E+2	1.428073E+1	4.738359E-3	4.471386E-3	8.837156E-4	6.238817E-3	1.891553E+2
9.332532E+2	1.405407E+1	4.725378E-3	4.457991E-3	8.846086E-4	6.227208E-3	1.886371E+2
9.344641E+2	1.388417E+1	4.714610E-3	4.447413E-3	8.847460E-4	6.216905E-3	1.882072E+2
9.356741E+2	1.366721E+1	4.701811E-3	4.435393E-3	8.854329E-4	6.206258E-3	1.876963E+2
9.368860E+2	1.347972E+1	4.690333E-3	4.423303E-3	8.857764E-4	6.194855E-3	1.872381E+2
9.380970E+2	1.325660E+1	4.677277E-3	4.409770E-3	8.866007E-4	6.182972E-3	1.867169E+2
9.393079E+2	1.304762E+1	4.663947E-3	4.396513E-3	8.880432E-4	6.172600E-3	1.861848E+2
9.405198E+2	1.285782E+1	4.651810E-3	4.384630E-3	8.881119E-4	6.160854E-3	1.857002E+2
9.417307E+2	1.266138E+1	4.639198E-3	4.371647E-3	8.886614E-4	6.148970E-3	1.851968E+2
9.429427E+2	1.250826E+1	4.628078E-3	4.360863E-3	8.890735E-4	6.139010E-3	1.847529E+2
9.441536E+2	1.230781E+1	4.615443E-3	4.347398E-3	8.899665E-4	6.127331E-3	1.842485E+2
9.453665E+2	1.211854E+1	4.603214E-3	4.335721E-3	8.900352E-4	6.115792E-3	1.837603E+2
9.465774E+2	1.194503E+1	4.591439E-3	4.323357E-3	8.907908E-4	6.104938E-3	1.832903E+2
9.477884E+2	1.175050E+1	4.578242E-3	4.310306E-3	8.914777E-4	6.093261E-3	1.827634E+2
9.489993E+2	1.159874E+1	4.566722E-3	4.299453E-3	8.911343E-4	6.081722E-3	1.823036E+2
9.502112E+2	1.140802E+1	4.553641E-3	4.285851E-3	8.914777E-4	6.068807E-3	1.817813E+2
9.514221E+2	1.122284E+1	4.541415E-3	4.273419E-3	8.923708E-4	6.058160E-3	1.812933E+2
